"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9601","Login Test with CSV Data: Login with Invalid credentials @datadriven","firefox","2026-07-01","passed","2026-07-01","","LoginDataDriven.spec.ts","",""
"","12247","verify the logout functionality","firefox","2026-07-14","failed","2026-07-14","","Logout.spec.ts","",""
"","15708","Login Test with JSON Data: Login with valid credentials @datadriven","firefox","2026-07-01","failed","2026-07-01","","LoginDataDriven.spec.ts","",""
"","2950","Product search test @master @regression","firefox","2026-07-22","passed","2026-07-22","","SearchProduct.spec.ts","",""
"","9626","User Registration Test @master @sanity @regression","firefox","2026-07-22","passed","2026-07-22","","AccountRegistration.spec.ts","",""
"","18632","verify the logout functionality @end-to-end","firefox","2026-07-15","failed","2026-07-15","","Logout.spec.ts","",""
"","33420","Login Test @master @sanity @regression @smoke","firefox","2026-07-22","broken","2026-07-22","","Login.spec.ts","",""
"","13331","User Registration Test","firefox","2026-06-14","passed","2026-06-14","","AccountRegistration.spec.ts","",""
"","15135","Login Test with CSV Data: Login with valid credentials @datadriven","firefox","2026-07-01","passed","2026-07-01","","LoginDataDriven.spec.ts","",""
"","10177","Login Test with JSON Data: Login with invalid credentials @datadriven","firefox","2026-07-01","failed","2026-07-01","","LoginDataDriven.spec.ts","",""
"","7148","User logout test @master @regression","firefox","2026-07-22","passed","2026-07-22","","Logout.spec.ts","",""
"","4835","Add product to cart test @master @regression","firefox","2026-07-22","passed","2026-07-22","","AddToCart.spec.ts","",""
"","8531","Login Test @master @sanity @regression","firefox","2026-07-21","passed","2026-07-21","","Login.spec.ts","",""
"","13810","Login Test","firefox","2026-06-14","passed","2026-06-14","","Login.spec.ts","",""
